transaction_id,booking_jurisdiction,regulator,booking_datetime,value_date,amount,currency,channel,product_type,originator_name,originator_account,originator_country,beneficiary_name,beneficiary_account,beneficiary_country,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_id,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,narrative,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,suspicion_determined_datetime,str_filed_datetime,fx_anomaly,amount_ratio_daily,anomaly_score,is_anomaly
66f1c2c5-6585-40e9-9b9d-4ec10c6fdbae,SG,MAS,2024-12-03 13:58:10,3/12/2024,2479099.4,HKD,RTGS,fx_conversion,Mr. John Turner MD,GB30TZUH89833514426746,HK,Roy Rodriguez,GB60ORBY07341123489694,DE,,,,True,True,,,True,True,SGD,CHF,1.354146,1.352118,15,Dean-Lowery,CUST-971549,individual,Low,True,20/10/2023,19/10/2024,True,True,True,TAX,Movement success popular senior whole buy similar.,False,False,High,True,match,False,True,True,0.0,1,potential,,,0.002028000000000141,2479099400000.0,-0.0007480472347230482,1
01572a13-834c-4119-8463-cfbcb36f50a3,SG,MAS,2024-03-24 22:37:35,24/3/2024,34286.48,CNY,Cash,cash_deposit,Kathleen Wright,GB58PZCL78058093635940,CN,Tammy Wood,GB60ZGJC31113250234479,JP,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-413307,corporate,High,False,7/10/2022,7/10/2023,True,False,True,GDS,Police should statement big hotel whether.,False,False,Balanced,True,match,False,True,True,34286.48,1,none,,,0.0,0.999999999970834,-0.0016385713937106527,1
6f7f8134-ea1c-434f-a98d-3f5e38d81833,HK,HKMA/SFC,2024-10-18 21:52:39,18/10/2024,1476760.69,GBP,SEPA,fx_conversion,Megan Gardner,GB04OMOX32727318267249,VN,Michele Caldwell,GB14SOEZ74175521707622,US,,,,True,True,,,True,True,USD,JPY,0.729999,0.729634,5,Wong Group,CUST-251464,corporate,High,False,29/5/2022,25/11/2022,True,False,True,SAL,Catch police tree contain care doctor girl above.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,0.0003649999999999487,1476760690000.0,-0.014818622453394714,1
11ab33f7-5db2-4a47-a856-9a8282250dfb,CH,FINMA,2025-04-02 13:26:52,2/4/2025,2896553.4,SGD,SWIFT,fx_conversion,Brianna Rodriguez,GB47AXYD39392361502168,ID,Michael Hunter,GB83WWUC81866583474251,HK,,,,True,True,,,True,True,CHF,SGD,0.356874,0.356162,20,Mclean-Weaver,CUST-584307,individual,Medium,False,16/11/2022,15/5/2023,False,True,True,MED,Lead require international I which within.,False,False,Balanced,True,match,False,True,True,0.0,1,potential,,,0.0007120000000000459,2896553400000.0,-0.0016424824684060368,1
7f4e7bd0-a9d3-4e92-97cc-a0d6fb1677ef,HK,HKMA/SFC,2024-11-22 15:08:39,22/11/2024,2622416.48,CNY,FPS (HK),fx_conversion,Bradley Anderson,GB75BGLN84723279145412,AE,Andrea Garcia,GB74KXUX38065524088158,AE,,,,True,True,,,True,True,GBP,CHF,1.930598,1.892743,200,"Johnson, Munoz and Perkins",CUST-338825,corporate,Low,False,20/5/2021,20/5/2022,False,True,True,MED,Total finish song machine beat network help figure.,False,False,Low,True,match,False,True,True,0.0,1,none,,,0.03785499999999997,2622416480000.0,-0.029834392444914204,1
b4528656-b082-4f5d-95d5-7023d16080f9,SG,MAS,2024-11-04 00:27:27,4/11/2024,809105.26,GBP,Cheque,fx_conversion,Jeffrey Medina,GB64CEGU54772706106896,SG,Kristine Taylor,GB45UNWN67049364898536,IR,,,,True,True,,,True,False,,,0.0,0.0,0,,CUST-776975,corporate,High,False,6/6/2020,3/12/2020,True,True,True,TAX,Drive garden left door guess identify threat day.,False,False,Balanced,True,match,False,True,True,0.0,1,none,,,0.0,809105260000.0,-0.007505016833371403,1
258342cf-5be8-4cb2-999f-ad54aaa9c80b,SG,MAS,2024-01-26 02:33:37,26/1/2024,2580996.86,SGD,RTGS,fx_conversion,Phillip Thompson,GB56RTEN94507543909879,SG,Alyssa Russell,GB45KXMP21036186188638,CN,,,,True,True,,,True,True,GBP,CNY,1.345519,1.338825,50,Gonzalez LLC,CUST-278150,corporate,Low,False,10/4/2022,9/4/2024,False,True,True,MED,Good TV per religious throughout view wide.,False,False,High,True,match,False,True,True,0.0,1,none,,,0.006693999999999978,2580996860000.0,-0.003332210778890954,1
eacdb3ae-0545-43e8-a7c6-b0bd55e43241,HK,HKMA/SFC,2024-03-25 15:47:33,25/3/2024,2162997.86,SGD,SEPA,fx_conversion,Keith Yates,GB42XLQM10986521319132,CH,Kristin Smith,GB82CFOW55601696089993,ID,,,,True,True,,,True,True,JPY,SGD,0.670586,0.669916,10,"Stanley, Murray and Smith",CUST-708732,individual,High,False,17/6/2022,14/12/2022,True,False,True,MED,Example leader born rather use.,False,False,Balanced,True,match,False,True,True,0.0,1,potential,,,0.0006700000000000594,2162997860000.0,-0.011467668272855391,1
b9228acb-9f87-449f-b7fd-8b0c89b45bef,CH,FINMA,2025-05-31 23:36:54,31/5/2025,807601.52,JPY,SWIFT,wire_transfer,Nancy Watkins,GB40WJPG54263102621796,SG,David Martin,GB54CKPZ65030413932641,FR,MT202COV,TIZLAPLI,WHSATQOT,True,False,Thank space own rock fast toward.,SHA,False,True,CNY,USD,1.701629,1.475175,1535,Livingston Inc,CUST-179842,domiciliary_company,High,False,3/7/2023,2/7/2025,True,True,True,MED,Attention which reveal wonder whom its.,False,False,Low,True,match,False,True,True,0.0,1,potential,,,0.22645400000000016,807601520000.0,-0.027863481013320646,1
2722a999-5246-4c3e-933c-8f774dbc7f5d,HK,HKMA/SFC,2024-08-31 07:36:37,31/8/2024,1754614.52,USD,FAST (SG),fx_conversion,Michelle Peterson,GB10ITCD18034366192107,JP,Matthew Medina,GB14AQUE56698012489624,HK,,,,True,True,,,True,True,JPY,CHF,1.430432,1.423315,50,Hunter and Sons,CUST-583941,corporate,Medium,False,13/4/2023,10/10/2023,False,True,True,GDS,Court weight since window cost public opportunity water reason may.,False,False,High,True,match,False,True,True,0.0,1,potential,,,0.007116999999999818,1754614520000.0,-0.002281874495424774,1
